Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
164441,4.14,62.87,994.18,0,402,48.846817,2.610167
165527,4.15,62.82,994.08,0,416,48.846828,2.610213
166615,4.17,63.11,994.1,0,432,48.846834,2.610256
167701,4.16,63.16,994.08,0,412,48.846835,2.610306
168787,4.17,63.12,994.0,0,410,48.846835,2.610353
169873,4.16,63.09,994.0,0,400,48.846837,2.610403
170959,4.19,63.14,994.03,0,404,48.846841,2.610505
172045,4.17,63.13,994.13,0,400,48.846848,2.610545
173131,4.15,63.04,994.08,0,400,48.846858,2.610577
174217,4.13,63.23,994.13,0,400,48.846865,2.61061
175303,4.12,63.2,994.18,0,420,48.846874,2.610654
176391,4.11,63.33,994.15,0,427,48.846885,2.610702
177477,4.11,63.56,994.25,0,437,48.846898,2.610743
178563,4.12,63.64,994.18,0,443,48.846911,2.610787
179649,4.12,63.66,994.15,0,439,48.846925,2.610832
180735,4.13,63.81,994.2,0,424,48.846934,2.610882
181821,4.12,63.82,994.2,0,416,48.846936,2.610932
182907,4.1,63.87,994.23,0,418,48.846946,2.611034
183993,4.11,63.98,994.15,0,426,48.846954,2.611086
185079,4.12,64.01,994.2,0,433,48.84696,2.611136
186168,4.13,64.2,994.28,0,445,48.846967,2.611187
187254,4.13,63.84,994.28,0,450,48.846976,2.611234
188340,4.11,63.96,994.25,0,446,48.846981,2.611282
189426,4.13,63.86,994.3,2,453,48.846979,2.611335
190512,4.12,63.89,994.23,0,431,48.846994,2.61139
191598,4.11,63.77,994.25,0,433,48.846994,2.611447
192684,4.11,63.87,994.3,0,415,48.846995,2.611501
193770,4.1,63.94,994.23,0,409,48.846995,2.611552
194856,4.12,63.82,994.25,0,416,48.847003,2.611603
195944,4.11,63.75,994.3,0,403,48.847005,2.611702
197030,4.1,63.83,994.33,0,406,48.847,2.611752
198116,4.1,63.95,994.3,0,403,48.846998,2.61181
199202,4.1,63.81,994.28,0,405,48.846997,2.611866
200288,4.1,64.05,994.3,0,401,48.846997,2.611919
201374,4.09,63.84,994.28,0,402,48.846998,2.611969
202460,4.08,63.95,994.3,0,402,48.846997,2.612025
203546,4.06,63.8,994.35,0,400,48.846995,2.61208
204635,4.07,63.78,994.33,0,402,48.846992,2.612131
205721,4.05,64.01,994.33,0,400,48.846989,2.61218
206807,4.04,63.91,994.4,0,400,48.846987,2.612228
207893,4.01,64.09,994.45,0,400,48.846987,2.612277
208979,4.03,64.16,994.45,0,416,48.846991,2.612367
210065,4.03,64.19,994.4,0,402,48.846992,2.612415
211151,4.01,64.04,994.4,0,400,48.846993,2.612466
212237,4.02,64.3,994.4,0,401,48.846986,2.612517
213323,4.03,64.29,994.4,0,421,48.846994,2.612561
214412,4.05,64.17,994.38,0,415,48.846994,2.612607
215498,4.06,64.3,994.38,0,416,48.846997,2.612654
216584,4.08,64.34,994.35,0,418,48.846996,2.612698
217670,4.07,64.32,994.3,0,407,48.846995,2.612745
218756,4.1,64.39,994.4,0,408,48.846994,2.6128
219842,4.08,64.33,994.3,0,400,48.846989,2.612847
220928,4.07,64.53,994.35,0,400,48.846982,2.612939
222014,4.08,64.23,994.45,0,405,48.846983,2.612983
223100,4.08,64.45,994.4,0,400,48.846983,2.613029
224188,4.09,64.44,994.45,0,410,48.846982,2.613072
225274,4.07,64.35,994.4,0,409,48.846978,2.613093
226360,4.07,64.53,994.45,0,412,48.846975,2.613135
227446,4.07,64.58,994.45,0,419,48.846975,2.61318
228532,4.07,64.53,994.4,0,415,48.846976,2.613222
229618,4.06,64.47,994.4,0,412,48.846977,2.613264
230704,4.06,64.43,994.45,0,405,48.846976,2.613304
231790,4.05,64.45,994.48,0,416,48.846966,2.613335
232876,4.06,64.47,994.45,0,416,48.846953,2.613365
233964,4.05,64.61,994.48,0,421,48.846921,2.613366
235050,4.08,64.45,994.5,9,435,48.846921,2.613368
236136,4.08,64.02,994.48,5,439,48.846916,2.613361
237222,4.12,64.66,994.45,14,458,48.846916,2.613363
238308,4.16,64.79,994.35,6,453,48.846916,2.613365
239394,4.17,64.71,994.35,14,469,48.846916,2.613367
240480,4.21,64.65,994.3,22,478,48.846916,2.613365
241566,4.25,64.62,994.25,30,519,48.846907,2.613371
242652,4.29,64.53,994.15,50,577,48.846905,2.613373
243741,4.31,64.66,994.13,59,605,48.846903,2.613377
244827,4.36,64.49,994.1,70,596,48.846904,2.613381
245913,4.4,65.06,994.1,71,572,48.846907,2.613388
246999,4.44,64.73,994.1,66,543,48.846907,2.613392
248085,4.45,64.77,994.0,60,526,48.846909,2.613395
249171,4.47,64.65,994.0,65,528,48.846915,2.613403
250257,4.5,64.72,993.95,59,530,48.84692,2.613412
251343,4.52,64.58,993.95,63,517,48.846921,2.613421
252431,4.54,64.71,993.9,52,492,48.846912,2.613422
253517,4.52,64.47,993.9,55,488,48.8469,2.613422
254603,4.52,64.45,993.95,42,464,48.846883,2.61342
255689,4.52,64.6,993.93,34,459,48.846867,2.613417
256775,4.51,64.5,994.0,26,449,48.846852,2.613411
257861,4.49,64.52,993.95,19,439,48.846843,2.613415
258947,4.48,64.64,994.03,21,444,48.846816,2.613439
260033,4.48,64.66,993.95,14,448,48.846796,2.613449
261119,4.48,64.5,994.03,8,435,48.846791,2.613452
262208,4.49,64.5,993.98,0,427,48.846788,2.613456
263307,4.49,64.46,993.95,1,411,48.846772,2.613471
264393,4.49,64.54,994.03,0,404,48.846737,2.613496
265479,4.48,64.48,994.03,0,400,48.846703,2.613515
266565,4.47,64.64,994.1,0,400,48.846668,2.613536
267651,4.48,64.59,994.05,0,407,48.846637,2.61355
268737,4.45,64.49,994.08,0,400,48.846606,2.61356
269823,4.44,64.52,994.05,0,400,48.846572,2.61357
270909,4.42,64.58,994.18,0,403,48.846536,2.613575
